timestamp,filename,threat_score,verdict,vt_detections,hybrid_score,yara_matches
2024-12-16T18:50:19.856658,Akta133y1974bm.pdf,2024-12-16T18:50:19.856658,0,unknown,0,0,0
2024-12-16T18:53:23.200384,Akta133y1974bm.pdf,2024-12-16T18:53:23.200384,0,unknown,0,0,0
2024-12-16T19:48:44.024200,Akta133y1974bm.pdf,2024-12-16T19:48:44.024200,0,unknown,0,0,0
2024-12-16T20:35:01.249047,Akta133y1974bm.pdf,2024-12-16T20:35:01.249047,0,unknown,0,0,0
